model,category,frequency,items
Meta-Llama-3.1-70B-Instruct,Bird,most_frequent,"['parrot', 'robin', 'eagle', 'penguin', 'owl', 'sparrow']"
Meta-Llama-3.1-70B-Instruct,Bird,average_frequency,"['swan', 'crow', 'flamingo', 'cardinal', 'emu', 'raven']"
Meta-Llama-3.1-70B-Instruct,Bird,least_frequent,"['goose', 'woodpecker', 'crane', 'kiwi', 'swallow', 'chicken']"
Meta-Llama-3.1-8B-Instruct,Bird,most_frequent,"['goose', 'parrot', 'robin', 'eagle', 'penguin', 'owl']"
Meta-Llama-3.1-8B-Instruct,Bird,average_frequency,"['swan', 'flamingo', 'dove', 'cardinal', 'albatro', 'gull']"
Meta-Llama-3.1-8B-Instruct,Bird,least_frequent,"['duck', 'magpie', 'canary', 'ibi', 'condor', 'starling']"
Qwen2.5-14B-Instruct,Bird,most_frequent,"['parrot', 'robin', 'swan', 'eagle', 'owl', 'sparrow']"
Qwen2.5-14B-Instruct,Bird,average_frequency,"['goose', 'penguin', 'pigeon', 'vulture', 'turkey', 'crane']"
Qwen2.5-14B-Instruct,Bird,least_frequent,"['finch', 'chicken', 'quail', 'heron', 'peacock', 'stork']"
Qwen2.5-32B-Instruct,Bird,most_frequent,"['goose', 'parrot', 'robin', 'eagle', 'penguin', 'owl']"
Qwen2.5-32B-Instruct,Bird,average_frequency,"['falcon', 'albatro', 'kiwi']"
Qwen2.5-32B-Instruct,Bird,least_frequent,"['swan', 'crow', 'swallow', 'turkey', 'pelican', 'toucan']"
Qwen2.5-72B-Instruct,Bird,most_frequent,"['parrot', 'robin', 'swan', 'eagle', 'penguin', 'owl']"
Qwen2.5-72B-Instruct,Bird,average_frequency,"['goose', 'pigeon', 'finch', 'crane', 'hawk', 'quail']"
Qwen2.5-72B-Instruct,Bird,least_frequent,"['dove', 'seagull', 'ibi', 'magpie', 'albatro', 'ostrich']"
Qwen2.5-7B-Instruct,Bird,most_frequent,"['eagle', 'penguin', 'sparrow', 'duck', 'flamingo', 'chicken']"
Qwen2.5-7B-Instruct,Bird,average_frequency,"['goose', 'owl', 'pigeon', 'hummingbird', 'pelican']"
Qwen2.5-7B-Instruct,Bird,least_frequent,"['robin', 'crow', 'ostrich', 'kiwi']"
gemini-3-pro,Bird,most_frequent,"['goose', 'parrot', 'robin', 'swan', 'eagle', 'penguin']"
gemini-3-pro,Bird,average_frequency,"['stilt', 'budgie', 'moorhen', 'dodo', 'rooster', 'catbird']"
gemini-3-pro,Bird,least_frequent,"['woodnymph', 'woodstar', 'whippoorwill', 'dunlin', 'trogon', 'shrike-thrush']"
Meta-Llama-3.1-70B-Instruct,Carpenter's tool,most_frequent,"['wrench', 'drill', 'chisel', 'screwdriver', 'level', 'clamp']"
Meta-Llama-3.1-70B-Instruct,Carpenter's tool,average_frequency,"['mallet', 'plane', 'plier', 'saw', 'jigsaw', 'pencil']"
Meta-Llama-3.1-70B-Instruct,Carpenter's tool,least_frequent,"['staple gun', 'workbench', 'stud finder', 'hand plane', 'router', 'nail set']"
Meta-Llama-3.1-8B-Instruct,Carpenter's tool,most_frequent,"['mallet', 'plane', 'wrench', 'drill', 'chisel', 'level']"
Meta-Llama-3.1-8B-Instruct,Carpenter's tool,average_frequency,"['plier', 'saw', 'safety glasse', 'jigsaw', 'utility knife', 'workbench']"
Meta-Llama-3.1-8B-Instruct,Carpenter's tool,least_frequent,"['screwdriver', 'ladder', 'mortise', 'coping saw', 'vice', 'miter saw']"
Qwen2.5-14B-Instruct,Carpenter's tool,most_frequent,"['wrench', 'drill', 'chisel', 'screwdriver', 'level', 'plier']"
Qwen2.5-14B-Instruct,Carpenter's tool,average_frequency,"['mallet', 'miter box', 'nail puller']"
Qwen2.5-14B-Instruct,Carpenter's tool,least_frequent,"['plane', 'power sander', 'belt sander', 'brush', 'circular saw', 'router']"
Qwen2.5-32B-Instruct,Carpenter's tool,most_frequent,"['mallet', 'plane', 'wrench', 'drill', 'chisel', 'screwdriver']"
Qwen2.5-32B-Instruct,Carpenter's tool,average_frequency,"['clamp', 'jigsaw', 'pry bar', 'file', 'nail set', 'compa']"
Qwen2.5-32B-Instruct,Carpenter's tool,least_frequent,"['drill bit', 'bit set', ""carpenter's square"", 'reciprocating saw', 'brace', ""carpenter's pencil""]"
Qwen2.5-72B-Instruct,Carpenter's tool,most_frequent,"['mallet', 'plane', 'drill', 'chisel', 'screwdriver', 'level']"
Qwen2.5-72B-Instruct,Carpenter's tool,average_frequency,"['brace', 'screw', 'dowel', 'dust mask', 'peg', 'jigsaw']"
Qwen2.5-72B-Instruct,Carpenter's tool,least_frequent,"['wrench', 'scraper', 'paintbrush', 'staple gun', 'pencil', 'toolbox']"
Qwen2.5-7B-Instruct,Carpenter's tool,most_frequent,"['wrench', 'drill', 'chisel', 'saw', 'hammer']"
Qwen2.5-7B-Instruct,Carpenter's tool,average_frequency,"['mallet', 'plane', 'screwdriver', 'clamp', 'measuring tape']"
Qwen2.5-7B-Instruct,Carpenter's tool,least_frequent,"['level', 'plier', 'vice']"
gemini-3-pro,Carpenter's tool,most_frequent,"['mallet', 'plane', 'drill', 'chisel', 'screwdriver', 'level']"
gemini-3-pro,Carpenter's tool,average_frequency,"['wrench', 'plier', 'sliding bevel', 'air compressor', 'staple gun', 'framing nailer']"
gemini-3-pro,Carpenter's tool,least_frequent,"[""carpenter's pencil"", 'hand saw', 'caulking gun', 'stapler', 'marking knife', 'wood glue']"
Meta-Llama-3.1-70B-Instruct,Clothing,most_frequent,"['jean', 'shoe', 'boot', 'shirt', 'sweater', 'jacket']"
Meta-Llama-3.1-70B-Instruct,Clothing,average_frequency,"['t-shirt', 'hoodie', 'sandal', 'short', 'underwear', 'vest']"
Meta-Llama-3.1-70B-Instruct,Clothing,least_frequent,"['pajama', 'leggings', 'tight', 'overall', 'swimsuit', 'earmuff']"
Meta-Llama-3.1-8B-Instruct,Clothing,most_frequent,"['shoe', 'boot', 'shirt', 'jacket', 'coat', 'dress']"
Meta-Llama-3.1-8B-Instruct,Clothing,average_frequency,"['jean', 't-shirt', 'sandal', 'short', 'underwear', 'sweater']"
Meta-Llama-3.1-8B-Instruct,Clothing,least_frequent,"['pajama', 'blazer', 'watch', 'kilt', 'tuxedo', 'jumpsuit']"
Qwen2.5-14B-Instruct,Clothing,most_frequent,"['jean', 'shoe', 't-shirt', 'short', 'shirt', 'sweater']"
Qwen2.5-14B-Instruct,Clothing,average_frequency,"['hoodie', 'sandal', 'boot', 'leggings', 'underwear', 'vest']"
Qwen2.5-14B-Instruct,Clothing,least_frequent,"['tie', 'necklace', 'bracelet', 'backpack', 'watch', 'stocking']"
Qwen2.5-32B-Instruct,Clothing,most_frequent,"['shirt', 'underwear', 'sweater', 'jacket', 'coat', 'dress']"
Qwen2.5-32B-Instruct,Clothing,average_frequency,"['jean', 'shoe', 'hoodie', 'short', 'leggings', 'skirt']"
Qwen2.5-32B-Instruct,Clothing,least_frequent,"['pajama', 'sandal', 'boot', 'apron', 'sneaker', 'kimono']"
Qwen2.5-72B-Instruct,Clothing,most_frequent,"['shoe', 'shirt', 'leggings', 'sweater', 'jacket', 'coat']"
Qwen2.5-72B-Instruct,Clothing,average_frequency,"['jean', 'pajama', 'hoodie', 'underwear', 'robe', 'poncho']"
Qwen2.5-72B-Instruct,Clothing,least_frequent,"['t-shirt', 'short', 'apron', 'cloak', 'romper', 'blazer']"
Qwen2.5-7B-Instruct,Clothing,most_frequent,"['jean', 'shirt', 'sweater', 'jacket', 'dress', 'skirt']"
Qwen2.5-7B-Instruct,Clothing,average_frequency,"['shoe', 't-shirt', 'short', 'coat', 'sock', 'hat']"
Qwen2.5-7B-Instruct,Clothing,least_frequent,"['hoodie', 'boot', 'underwear', 'glove', 'scarf', 'negligee']"
gemini-3-pro,Clothing,most_frequent,"['jean', 'pajama', 'shoe', 't-shirt', 'hoodie', 'sandal']"
gemini-3-pro,Clothing,average_frequency,"['hijab', 'wedge', 'flip flop', 'sweatshirt', 'long john', 'visor']"
gemini-3-pro,Clothing,least_frequent,"['shrug', 'chap', 'pocket square', 'skort', 'wrap', 'capri']"
Meta-Llama-3.1-70B-Instruct,Fruit,most_frequent,"['apple', 'cherry', 'kiwi', 'banana', 'strawberry', 'lemon']"
Meta-Llama-3.1-70B-Instruct,Fruit,average_frequency,"['papaya', 'fig', 'guava']"
Meta-Llama-3.1-70B-Instruct,Fruit,least_frequent,"['date', 'grapefruit', 'passionfruit', 'honeydew melon', 'blackberry', 'acai berry']"
Meta-Llama-3.1-8B-Instruct,Fruit,most_frequent,"['apple', 'cherry', 'kiwi', 'banana', 'strawberry', 'lemon']"
Meta-Llama-3.1-8B-Instruct,Fruit,average_frequency,"['pomegranate', 'acai', 'nectarine']"
Meta-Llama-3.1-8B-Instruct,Fruit,least_frequent,"['pear', 'olive', 'lime', 'tangerine', 'dragonfruit', 'elderberry']"
Qwen2.5-14B-Instruct,Fruit,most_frequent,"['apple', 'cherry', 'banana', 'strawberry', 'lemon', 'orange']"
Qwen2.5-14B-Instruct,Fruit,average_frequency,"['kiwi', 'ugli fruit', 'honeydew melon']"
Qwen2.5-14B-Instruct,Fruit,least_frequent,"['watermelon', 'date', 'jackfruit', 'xigua', 'durian', 'ziziphu']"
Qwen2.5-32B-Instruct,Fruit,most_frequent,"['apple', 'cherry', 'kiwi', 'banana', 'strawberry', 'lemon']"
Qwen2.5-32B-Instruct,Fruit,average_frequency,"['apricot', 'blackberry', 'avocado', 'tangerine']"
Qwen2.5-32B-Instruct,Fruit,least_frequent,"['date', 'grapefruit', 'pear', 'dragonfruit', 'papaya', 'lychee']"
Qwen2.5-72B-Instruct,Fruit,most_frequent,"['apple', 'cherry', 'kiwi', 'banana', 'strawberry', 'lemon']"
Qwen2.5-72B-Instruct,Fruit,average_frequency,"['pomegranate', 'guava', 'fig']"
Qwen2.5-72B-Instruct,Fruit,least_frequent,"['coconut', 'cranberry', 'avocado', 'cantaloupe', 'honeydew melon', 'melon']"
Qwen2.5-7B-Instruct,Fruit,most_frequent,"['apple', 'banana', 'strawberry', 'orange', 'mango']"
Qwen2.5-7B-Instruct,Fruit,average_frequency,"['kiwi', 'lemon', 'grape', 'pear', 'pineapple']"
Qwen2.5-7B-Instruct,Fruit,least_frequent,"['cherry', 'peach', 'plum', 'avocado']"
gemini-3-pro,Fruit,most_frequent,"['apple', 'cherry', 'kiwi', 'banana', 'strawberry', 'lemon']"
gemini-3-pro,Fruit,average_frequency,"['pumpkin', 'mangosteen', 'sapodilla', 'ugli fruit', 'rambutan', 'prickly pear']"
gemini-3-pro,Fruit,least_frequent,"['feijoa', 'tayberry', 'salmonberry', 'chokeberry', 'eggplant', 'acai']"
Meta-Llama-3.1-70B-Instruct,Furniture,most_frequent,"['bookshelf', 'table', 'coffee table', 'bed', 'wardrobe', 'chair']"
Meta-Llama-3.1-70B-Instruct,Furniture,average_frequency,"['sofa', 'bench', 'end table', 'mirror', 'vanity', 'footboard']"
Meta-Llama-3.1-70B-Instruct,Furniture,least_frequent,"['cabinet', 'couch', 'lamp', 'chest of drawer', 'daybed', 'hammock']"
Meta-Llama-3.1-8B-Instruct,Furniture,most_frequent,"['bookshelf', 'table', 'coffee table', 'bed', 'cabinet', 'wardrobe']"
Meta-Llama-3.1-8B-Instruct,Furniture,average_frequency,"['armchair', 'bench', 'end table', 'bookcase', 'lamp', 'mirror']"
Meta-Llama-3.1-8B-Instruct,Furniture,least_frequent,"['dining table', 'piano', 'closet', 'mattre', 'nightlight', 'blanket']"
Qwen2.5-14B-Instruct,Furniture,most_frequent,"['table', 'coffee table', 'bed', 'wardrobe', 'chair', 'desk']"
Qwen2.5-14B-Instruct,Furniture,average_frequency,"['cabinet', 'armchair', 'dresser', 'nightstand', 'ottoman', 'shelf']"
Qwen2.5-14B-Instruct,Furniture,least_frequent,"['bookshelf', 'end table', 'sideboard', 'bookcase', 'drawer', 'side table']"
Qwen2.5-32B-Instruct,Furniture,most_frequent,"['table', 'coffee table', 'bed', 'cabinet', 'wardrobe', 'chair']"
Qwen2.5-32B-Instruct,Furniture,average_frequency,"['bookshelf', 'armchair', 'shelf', 'bench', 'lamp', 'mirror']"
Qwen2.5-32B-Instruct,Furniture,least_frequent,"['couch', 'sideboard', 'closet', 'buffet', 'hutch', 'high chair']"
Qwen2.5-72B-Instruct,Furniture,most_frequent,"['table', 'coffee table', 'bed', 'cabinet', 'chair', 'desk']"
Qwen2.5-72B-Instruct,Furniture,average_frequency,"['wardrobe', 'armchair', 'shelf', 'bookcase', 'lamp', 'rug']"
Qwen2.5-72B-Instruct,Furniture,least_frequent,"['end table', 'sideboard', 'footstool', 'mirror', 'bar stool', 'bean bag']"
Qwen2.5-7B-Instruct,Furniture,most_frequent,"['bookshelf', 'table', 'bed', 'wardrobe', 'chair', 'desk']"
Qwen2.5-7B-Instruct,Furniture,average_frequency,"['coffee table', 'armchair', 'dining table', 'nightstand', 'lamp', 'rug']"
Qwen2.5-7B-Instruct,Furniture,least_frequent,"['cabinet', 'ottoman', 'bunk bed', 'patio furniture', 'dining chair', 'rocking horse']"
gemini-3-pro,Furniture,most_frequent,"['bookshelf', 'table', 'coffee table', 'bed', 'cabinet', 'wardrobe']"
gemini-3-pro,Furniture,average_frequency,"['podium', 'altar', 'picnic table', 'sectional', 'display case', 'folding table']"
gemini-3-pro,Furniture,least_frequent,"['pedestal', 'computer desk', 'quilt rack', 'club chair', 'curio cabinet', 'valet stand']"
Meta-Llama-3.1-70B-Instruct,Sport,most_frequent,"['rowing', 'volleyball', 'tenni', 'football', 'wrestling', 'hockey']"
Meta-Llama-3.1-70B-Instruct,Sport,average_frequency,"['fencing', 'skateboarding', 'surfing', 'skiing', 'athletic', 'archery']"
Meta-Llama-3.1-70B-Instruct,Sport,least_frequent,"['equestrian', 'dart', 'snowboarding', 'figure skating', 'nascar', 'water polo']"
Meta-Llama-3.1-8B-Instruct,Sport,most_frequent,"['tenni', 'football', 'hockey', 'baseball', 'boxing', 'cycling']"
Meta-Llama-3.1-8B-Instruct,Sport,average_frequency,"['volleyball', 'fencing', 'wrestling', 'judo', 'swimming', 'karate']"
Meta-Llama-3.1-8B-Instruct,Sport,least_frequent,"['rowing', 'skateboarding', 'surfing', 'running', 'taekwondo', 'sailing']"
Qwen2.5-14B-Instruct,Sport,most_frequent,"['volleyball', 'tenni', 'football', 'wrestling', 'hockey', 'swimming']"
Qwen2.5-14B-Instruct,Sport,average_frequency,"['handball', 'skateboarding', 'surfing', 'skiing', 'rugby', 'table tenni']"
Qwen2.5-14B-Instruct,Sport,least_frequent,"['rowing', 'fencing', 'judo', 'baseball', 'karate', 'golf']"
Qwen2.5-32B-Instruct,Sport,most_frequent,"['rowing', 'volleyball', 'tenni', 'skateboarding', 'football', 'surfing']"
Qwen2.5-32B-Instruct,Sport,average_frequency,"['fencing', 'wrestling', 'judo', 'karate', 'gymnastic', 'lacrosse']"
Qwen2.5-32B-Instruct,Sport,least_frequent,"['handball', 'running', 'sailing', 'archery', 'athletic', 'snooker']"
Qwen2.5-72B-Instruct,Sport,most_frequent,"['volleyball', 'tenni', 'wrestling', 'swimming', 'boxing', 'cycling']"
Qwen2.5-72B-Instruct,Sport,average_frequency,"['fencing', 'skateboarding', 'football', 'judo', 'surfing', 'hockey']"
Qwen2.5-72B-Instruct,Sport,least_frequent,"['rowing', 'karate', 'skating', 'sailing', 'lacrosse', 'yoga']"
Qwen2.5-7B-Instruct,Sport,most_frequent,"['volleyball', 'tenni', 'football', 'hockey', 'swimming', 'boxing']"
Qwen2.5-7B-Instruct,Sport,average_frequency,"['handball', 'wrestling', 'baseball', 'cycling', 'cricket', 'badminton']"
Qwen2.5-7B-Instruct,Sport,least_frequent,"['fencing', 'skateboarding', 'judo', 'surfing', 'skiing', 'snowboarding']"
gemini-3-pro,Sport,most_frequent,"['rowing', 'volleyball', 'tenni', 'fencing', 'handball', 'skateboarding']"
gemini-3-pro,Sport,average_frequency,"['football', 'hockey', 'croquet', 'rodeo', 'hunting', 'aikido']"
gemini-3-pro,Sport,least_frequent,"['running', 'obstacle course racing', 'bouldering', 'hang gliding', 'drag racing', 'wheelchair rugby']"
Meta-Llama-3.1-70B-Instruct,Toy,most_frequent,"['stuffed animal', 'doll', 'yo-yo', 'action figure', 'board game', 'puzzle']"
Meta-Llama-3.1-70B-Instruct,Toy,average_frequency,"['train', 'jump rope', 'toy phone', 'toy car', 'playdough', ""doctor's kit""]"
Meta-Llama-3.1-70B-Instruct,Toy,least_frequent,"['bicycle', 'nerf gun', 'playhouse', 'card game', 'frisbee', 'play phone']"
Meta-Llama-3.1-8B-Instruct,Toy,most_frequent,"['doll', 'yo-yo', 'action figure', 'board game', 'puzzle', 'building block']"
Meta-Llama-3.1-8B-Instruct,Toy,average_frequency,"['stuffed animal', 'robot', 'rubber band', 'etch a sketch', 'train', 'eraser']"
Meta-Llama-3.1-8B-Instruct,Toy,least_frequent,"['boat', 'marionette', 'bike', 'coloring book', 'top', 'playdough']"
Qwen2.5-14B-Instruct,Toy,most_frequent,"['stuffed animal', 'doll', 'action figure', 'board game', 'puzzle', 'car']"
Qwen2.5-14B-Instruct,Toy,average_frequency,"['yo-yo', 'skateboard', 'frisbee', 'toy phone', 'bicycle', 'train set']"
Qwen2.5-14B-Instruct,Toy,least_frequent,"['building block', 'play doh', 'scooter', 'lego', 'roller skate', 'toy sword']"
Qwen2.5-32B-Instruct,Toy,most_frequent,"['doll', 'puzzle', 'car', 'balloon', 'boardgame', 'actionfigure']"
Qwen2.5-32B-Instruct,Toy,average_frequency,"['stuffed animal', 'action figure', 'board game', 'teddy bear', 'jump rope', 'remote control car']"
Qwen2.5-32B-Instruct,Toy,least_frequent,"['yo-yo', 'building block', 'pinata', 'musicalinstrumenttoy', 'playdough', 'bouncyball']"
Qwen2.5-72B-Instruct,Toy,most_frequent,"['stuffed animal', 'doll', 'yo-yo', 'action figure', 'board game', 'puzzle']"
Qwen2.5-72B-Instruct,Toy,average_frequency,"['toy car', 'play kitchen', 'train', 'card game', 'train set', 'car']"
Qwen2.5-72B-Instruct,Toy,least_frequent,"['scooter', 'fidget spinner', 'robot', 'slime', 'spinner', 'skate']"
Qwen2.5-7B-Instruct,Toy,most_frequent,"['stuffed animal', 'doll', 'action figure', 'puzzle', 'building block', 'teddy bear']"
Qwen2.5-7B-Instruct,Toy,average_frequency,"['yo-yo', 'toy airplane', 'toy truck']"
Qwen2.5-7B-Instruct,Toy,least_frequent,"['board game', 'toy sword', 'dollhouse', 'toy robot']"
gemini-3-pro,Toy,most_frequent,"['stuffed animal', 'doll', 'yo-yo', 'action figure', 'board game', 'puzzle']"
gemini-3-pro,Toy,average_frequency,"['building block', 'helmet', 'magic set', 'snow globe', 'piano', 'handheld game']"
gemini-3-pro,Toy,least_frequent,"['slot car', 'ribbon', 'cap gun', 'see-saw', 'pinball machine', 'unicycle']"
Meta-Llama-3.1-70B-Instruct,Vegetable,most_frequent,"['broccoli', 'kale', 'mushroom', 'garlic', 'carrot', 'cauliflower']"
Meta-Llama-3.1-70B-Instruct,Vegetable,average_frequency,"['eggplant', 'zucchini', 'radish', 'lettuce', 'bell pepper', 'cucumber']"
Meta-Llama-3.1-70B-Instruct,Vegetable,least_frequent,"['tomato', 'pumpkin', 'pea', 'yam', 'swede', 'squash']"
Meta-Llama-3.1-8B-Instruct,Vegetable,most_frequent,"['broccoli', 'kale', 'mushroom', 'garlic', 'lettuce', 'carrot']"
Meta-Llama-3.1-8B-Instruct,Vegetable,average_frequency,"['eggplant', 'zucchini', 'radish', 'bell pepper', 'cucumber', 'corn']"
Meta-Llama-3.1-8B-Instruct,Vegetable,least_frequent,"['tomato', 'pumpkin', 'pea', 'green bean', 'swiss chard', 'squash']"
Qwen2.5-14B-Instruct,Vegetable,most_frequent,"['broccoli', 'kale', 'eggplant', 'zucchini', 'tomato', 'garlic']"
Qwen2.5-14B-Instruct,Vegetable,average_frequency,"['pumpkin', 'cauliflower', 'bell pepper', 'artichoke']"
Qwen2.5-14B-Instruct,Vegetable,least_frequent,"['potato', 'beetroot', 'asparagus', 'corn', 'leek', 'bean']"
Qwen2.5-32B-Instruct,Vegetable,most_frequent,"['broccoli', 'kale', 'eggplant', 'zucchini', 'tomato', 'radish']"
Qwen2.5-32B-Instruct,Vegetable,average_frequency,"['mushroom', 'garlic', 'cauliflower', 'bell pepper', 'beetroot', 'corn']"
Qwen2.5-32B-Instruct,Vegetable,least_frequent,"['pumpkin', 'potato', 'sweet potato', 'bean', 'cabbage', 'green bean']"
Qwen2.5-72B-Instruct,Vegetable,most_frequent,"['broccoli', 'kale', 'eggplant', 'zucchini', 'tomato', 'garlic']"
Qwen2.5-72B-Instruct,Vegetable,average_frequency,"['beetroot', 'asparagus', 'corn', 'turnip', 'leek', 'squash']"
Qwen2.5-72B-Instruct,Vegetable,least_frequent,"['mushroom', 'pumpkin', 'brussels sprout', 'parsley', 'okra', 'green bean']"
Qwen2.5-7B-Instruct,Vegetable,most_frequent,"['broccoli', 'tomato', 'lettuce', 'carrot', 'cauliflower', 'spinach']"
Qwen2.5-7B-Instruct,Vegetable,average_frequency,"['radish', 'bell pepper', 'pea', 'bean']"
Qwen2.5-7B-Instruct,Vegetable,least_frequent,"['kale', 'zucchini', 'onion', 'pepper']"
gemini-3-pro,Vegetable,most_frequent,"['broccoli', 'kale', 'mushroom', 'eggplant', 'zucchini', 'tomato']"
gemini-3-pro,Vegetable,average_frequency,"['kidney bean', 'fiddlehead fern', 'soybean', 'lentil', 'tomatillo', 'chayote']"
gemini-3-pro,Vegetable,least_frequent,"['galangal', 'napa cabbage', 'red cabbage', 'wax bean', 'yellow onion', 'komatsuna']"
Meta-Llama-3.1-70B-Instruct,Vehicle,most_frequent,"['scooter', 'truck', 'motorcycle', 'train', 'van', 'boat']"
Meta-Llama-3.1-70B-Instruct,Vehicle,average_frequency,"['wagon', 'airplane', 'tank', 'tractor', 'wheelchair', 'yacht']"
Meta-Llama-3.1-70B-Instruct,Vehicle,least_frequent,"['blimp', 'spacecraft', 'plane', 'snowmobile', 'excavator', 'bulldozer']"
Meta-Llama-3.1-8B-Instruct,Vehicle,most_frequent,"['scooter', 'truck', 'motorcycle', 'train', 'airplane', 'boat']"
Meta-Llama-3.1-8B-Instruct,Vehicle,average_frequency,"['van', 'tank', 'rv', 'trolley', 'tram', 'go-kart']"
Meta-Llama-3.1-8B-Instruct,Vehicle,least_frequent,"['wagon', 'tractor', 'cart', 'glider', 'moped', 'rocket']"
Qwen2.5-14B-Instruct,Vehicle,most_frequent,"['scooter', 'truck', 'motorcycle', 'train', 'airplane', 'boat']"
Qwen2.5-14B-Instruct,Vehicle,average_frequency,"['van', 'sled', 'wheelchair', 'rocket', 'submarine', 'roller skate']"
Qwen2.5-14B-Instruct,Vehicle,least_frequent,"['wagon', 'ship', 'rickshaw', 'kart', 'tram', 'firetruck']"
Qwen2.5-32B-Instruct,Vehicle,most_frequent,"['scooter', 'truck', 'motorcycle', 'train', 'airplane', 'van']"
Qwen2.5-32B-Instruct,Vehicle,average_frequency,"['trolley', 'taxi', 'snowmobile', 'subway', 'pickup truck', 'sedan']"
Qwen2.5-32B-Instruct,Vehicle,least_frequent,"['tractor', 'submarine', 'fire truck', 'segway', 'ferry', 'golf cart']"
Qwen2.5-72B-Instruct,Vehicle,most_frequent,"['scooter', 'truck', 'motorcycle', 'train', 'airplane', 'van']"
Qwen2.5-72B-Instruct,Vehicle,average_frequency,"['wagon', 'wheelchair', 'cart', 'spaceship', 'police car', 'roller skate']"
Qwen2.5-72B-Instruct,Vehicle,least_frequent,"['trolleybus', 'bulldozer', 'crane', 'cable car', 'excavator', 'ship']"
Qwen2.5-7B-Instruct,Vehicle,most_frequent,"['truck', 'motorcycle', 'bicycle', 'bus', 'car']"
Qwen2.5-7B-Instruct,Vehicle,average_frequency,"['scooter', 'van', 'jeep', 'suv']"
Qwen2.5-7B-Instruct,Vehicle,least_frequent,"['sedan', 'convertible', 'minivan', 'coupe']"
gemini-3-pro,Vehicle,most_frequent,"['scooter', 'truck', 'motorcycle', 'train', 'wagon', 'airplane']"
gemini-3-pro,Vehicle,average_frequency,"['wheelchair', 'steamroller', 'buggy', 'mail truck', 'zeppelin', 'excavator']"
gemini-3-pro,Vehicle,least_frequent,"['wheelbarrow', 'orbiter', 'tanker truck', 'sampan', 'toboggan', 'probe']"
Meta-Llama-3.1-70B-Instruct,Weapon,most_frequent,"['pistol', 'bow', 'dagger', 'knife', 'axe', 'spear']"
Meta-Llama-3.1-70B-Instruct,Weapon,average_frequency,"['crossbow', 'gun', 'arrow', 'tank', 'whip', 'bomb']"
Meta-Llama-3.1-70B-Instruct,Weapon,least_frequent,"['sling', 'rocket', 'shield', 'harpoon', 'throwing star', 'rapier']"
Meta-Llama-3.1-8B-Instruct,Weapon,most_frequent,"['katana', 'pistol', 'bow', 'dagger', 'knife', 'axe']"
Meta-Llama-3.1-8B-Instruct,Weapon,average_frequency,"['flail', 'club', 'uzi', 'flintlock', 'machete', 'musket']"
Meta-Llama-3.1-8B-Instruct,Weapon,least_frequent,"['cannon', 'gladiu', 'war hammer', 'catapult', 'rocket launcher', 'swordstick']"
Qwen2.5-14B-Instruct,Weapon,most_frequent,"['bow', 'dagger', 'knife', 'axe', 'spear', 'crossbow']"
Qwen2.5-14B-Instruct,Weapon,average_frequency,"['katana', 'pistol', 'sling', 'club', 'rifle', 'mace']"
Qwen2.5-14B-Instruct,Weapon,least_frequent,"['flail', 'cannon', 'machine gun', 'machinegun', 'trident', 'flamethrower']"
Qwen2.5-32B-Instruct,Weapon,most_frequent,"['pistol', 'bow', 'knife', 'axe', 'spear', 'crossbow']"
Qwen2.5-32B-Instruct,Weapon,average_frequency,"['katana', 'dagger', 'flail', 'cannon', 'whip', 'baton']"
Qwen2.5-32B-Instruct,Weapon,least_frequent,"['halberd', 'scythe', 'plasma rifle', 'vambrace', 'lance', 'trident']"
Qwen2.5-72B-Instruct,Weapon,most_frequent,"['pistol', 'bow', 'dagger', 'knife', 'axe', 'spear']"
Qwen2.5-72B-Instruct,Weapon,average_frequency,"['sling', 'halberd', 'flail', 'tank', 'whip', 'grenade']"
Qwen2.5-72B-Instruct,Weapon,least_frequent,"['katana', 'cannon', 'nunchuck', 'scythe', 'catapult', 'torpedo']"
Qwen2.5-7B-Instruct,Weapon,most_frequent,"['bow', 'dagger', 'knife', 'axe', 'spear', 'crossbow']"
Qwen2.5-7B-Instruct,Weapon,average_frequency,"['pistol', 'gun', 'rifle', 'staff', 'hammer']"
Qwen2.5-7B-Instruct,Weapon,least_frequent,"['katana', 'halberd', 'flail', 'baton', 'battleaxe', 'warhammer']"
gemini-3-pro,Weapon,most_frequent,"['katana', 'pistol', 'bow', 'dagger', 'knife', 'halberd']"
gemini-3-pro,Weapon,average_frequency,"['sling', 'poison', 'rocket', 'bazooka', 'submachine gun', 'garrote']"
gemini-3-pro,Weapon,least_frequent,"['gatling gun', 'ga', 'compound bow', 'baseball bat', 'turret', 'bola']"
